code,year,community
RUS,1958,pact:ALB
ARG,1958,pact:ARG
BOL,1958,pact:ARG
BRA,1958,pact:ARG
CHL,1958,pact:ARG
COL,1958,pact:ARG
CRI,1958,pact:ARG
CUB,1958,pact:ARG
DOM,1958,pact:ARG
ECU,1958,pact:ARG
GTM,1958,pact:ARG
HND,1958,pact:ARG
HTI,1958,pact:ARG
MEX,1958,pact:ARG
NIC,1958,pact:ARG
PAN,1958,pact:ARG
PER,1958,pact:ARG
PRY,1958,pact:ARG
SLV,1958,pact:ARG
URY,1958,pact:ARG
VEN,1958,pact:ARG
ARE,1958,pact:ARE
EGY,1958,pact:ARE
IRQ,1958,pact:ARE
JOR,1958,pact:ARE
LBN,1958,pact:ARE
LBY,1958,pact:ARE
SAU,1958,pact:ARE
SYR,1958,pact:ARE
TUN,1958,pact:ARE
YEM,1958,pact:ARE
AUS,1959,pact:AUS
BEL,1959,pact:AUS
CAN,1959,pact:AUS
DNK,1959,pact:AUS
FRA,1959,pact:AUS
GBR,1959,pact:AUS
GER,1959,pact:AUS
GRC,1959,pact:AUS
ISL,1959,pact:AUS
ITA,1959,pact:AUS
JPN,1959,pact:AUS
KOR,1959,pact:AUS
LUX,1959,pact:AUS
MYS,1959,pact:AUS
NLD,1959,pact:AUS
NOR,1959,pact:AUS
NZL,1959,pact:AUS
PAK,1959,pact:AUS
PHL,1959,pact:AUS
PRT,1959,pact:AUS
TUR,1959,pact:AUS
TWN,1959,pact:AUS
USA,1959,pact:AUS
YUG,1959,pact:AUS
ARG,1959,pact:ARG
BOL,1959,pact:ARG
BRA,1959,pact:ARG
CHL,1959,pact:ARG
COL,1959,pact:ARG
CRI,1959,pact:ARG
CUB,1959,pact:ARG
DOM,1959,pact:ARG
ECU,1959,pact:ARG
GTM,1959,pact:ARG
HND,1959,pact:ARG
HTI,1959,pact:ARG
MEX,1959,pact:ARG
NIC,1959,pact:ARG
PAN,1959,pact:ARG
PER,1959,pact:ARG
PRY,1959,pact:ARG
SLV,1959,pact:ARG
URY,1959,pact:ARG
VEN,1959,pact:ARG
ALB,1959,pact:ALB
BGR,1959,pact:ALB
CHN,1959,pact:ALB
CSK,1959,pact:ALB
DDR,1959,pact:ALB
FIN,1959,pact:ALB
HUN,1959,pact:ALB
MNG,1959,pact:ALB
POL,1959,pact:ALB
ROU,1959,pact:ALB
RUS,1959,pact:ALB
ARE,1959,pact:ARE
EGY,1959,pact:ARE
IRQ,1959,pact:ARE
JOR,1959,pact:ARE
LBN,1959,pact:ARE
LBY,1959,pact:ARE
SAU,1959,pact:ARE
SYR,1959,pact:ARE
TUN,1959,pact:ARE
YEM,1959,pact:ARE
ALB,1960,pact:ALB
BGR,1960,pact:ALB
CHN,1960,pact:ALB
